5.00,"Excellent quality product, I just can't wait for a less expensive generic that performs the same. So far, I haven't found one to compare and this is a little pricey."
5.00,"I absolutely LOVE this stuff. I use it mostly for my sheets, towels and comforters. You can use as much or as little as you want and it just smells wonderful. You walk in your bedroom and it just smells clean! What a great invention! I always buy when I see it on sale! Try it! I think you will love it!"
5.00,"I was used to adding fabrick softeners when the beep went off for a final rinse. Sometime that really got in the way or simply forgot to. Not any more. These downy unstopables are simply adorable and convenient. My work out clothes now really smell fresh as are the towels and bed sheets."
5.00,"I put these inside a new vacuum bag and it made the whole house smell wonderful! I was out of vac. tablets and thought I\"d try this -it works great! it was only about a quarter size of the cap-viola!"
5.00,"I use this for my sheets and towels!! The scent is fresh and lasts for days. My husband likes it too!"
5.00,"Downy smells are awesome. I love this one too. Fun new product to try, I throw it in with my towels, it helps give them the extra boost of sweet smelling clean, that they need."
3.00,"Well, I gave it three stars because it does what it says it does, but I didn't like it at all. To be honest I don't even like perfumes, so I was afraid this stuff would be too strong smelling for me. I love my Downy Fabric Softener and the soft scent it gives my cloths; but this stuff is way too strong for me, even with a little. I saw someone else mention that it makes the towels feel to rough and I totally agree. I really like my towels soft. I usually only use a tad of softener and it's enough to make my towels soft and smell nice without taking away the ability to absorb. But I used twice as much softener because of what I read and I still didn't like the feel of my towels either. I didn't notice it as much on my cloths.                                              If you like the extra scent, this will give you what you're looking for. But it's not for those, like myself, that don't like strong, perfumey smells."
5.00,"My boyfriend is a Hockey Goalie and of course sweats and reaks after his games. This stuff was absolutely amazing with the scent and also stayed smelling good for a while."
4.00,"I bought the Gain version but decided to try these, there is no difference between the two, they both make your clothes smell good. There needs to be a bigger container for these because I use them a lot. They work well for clothes that you work out in."
5.00,"I use this in the wash along with Downey Infusions Honey Flower fabric softner - our laundry smells so good for so long, wish they'd make this scent as a dryer sheet."
5.00,"These unstopables get rid of all the smells on laundry. It works like magic. I wish they were less expensive but they work amazing."
5.00,"The scent last for a long time. This is my favorite of all the unstoppables. Definately purchase again and again."
5.00,"My wife and I both have sensitive skin, so we're forced to use unscented, hypoallergenic detergents for our laundry. Unfortunately, we're both very active, and the freshness of our clothing suffers for it. This product is the perfect answer to our needs. It doesn't take a lot to freshen up a load of laundry, and we haven't had any skin irritation as a result of using it. I highly recommend it!"
4.00,"So easy to use and leaves laundry smelling fresh. Not like some fresheners that smell like cheap perfume. This scent is fabulous! Only negative is product is a bit pricey."
5.00,"I have these on subscribe and save, very good for things like blankets that are not washed very frequently, freshness lasts"
5.00,"I have been looking for something to get the smell out of my Grandsons work clothes .                                              He is a chef. I have tried baking soda, vinigar, and Oxy clean,just to name a few, with out much success.                                                But the Downy Wash scent booster, really worked.                                                                     I use my regular tide with bleach, or Gain -love the Gain), and throw a few pellets in with the beginning wash.                                              Its easy, and I do not measure anything.                                              I still use my dryer sheets,which gives a scent, but I use them so I do not have to iron!                                                                     Even using dryer sheets with the other cleaners, just never got that resturant cooking smell out of his clothes.                                                                     These are little round thin pellets.                                              This seemed expensive but you do not have to use many pellets. Maybe 15 or so.                                                                     I also use this on my clothes and my Husbands with out a problem.                                              The scent stays in the clothes, but it is NOT strong. A nice fresh clean scent.                                                                     I will be buying more.Two thumbs up."
3.00,"These smell great and are convenient because you add them at the beginning of the wash. HOWEVER the beads DO NOT DISSOLVE IN COLD WASHES. After ordering i ended up finding them at the supermarket for a much cheaper price."
4.00,"I love these Unstopables, just wish they were a little less pricey (reason for the 4 stars). Love how they make my laundry smell. I also use regular Downy, may be a little Downy freak, but the scent boosters really add a nice scent. I have tried all 3 scents & love them all. Use different ones for different pieces of laundry."
5.00,"Smells amazing! Love love love this product. Will continue to buy in the future. The smell is incredible and leaves clothes smelling great all day."
3.00,"I had seen this product advertised, and when Amazon made it available through the Vine program, I decided to give it a try. Just a word here: this product does nothing else other than to provide a scent to your laundry. It does not provide extra cleaning power or softening. So, if you - like me - use an additional cleaner to your laundry detergent, you will need to continue to use that product and this. Likewise, if you use a softening product in the wash, you will need to continue to use that as well as using this product. Considering that a person might have to use a laundry detergent, an extra cleaner (such as Oxi-clean, Clorax 2, or bleach), in wash softening rinse, AND this? It just seems like a LOT of products to be putting into the washing machine. It just seems to me it would be more logical if this product combined with some of the others: scent booster along with softening or extra cleaner/whitener/brightener. I could feel as though I'm being economical in some way - and not having to carry additional bottles to the laundry room each week!                                                                     There is no set amount one must use. I suppose this can be good or bad, it's up to the individual. One of the first loads of laundry I tried with this product, I put in a full capful, and the laundry's scent WAS boosted. Oh my, yes! The entire closet was scented from just the few items I had washed! So, caution on using a lot of this product, especially if one is very sensitive to smells. Oh, and the scent does last for a while. Quite a while.                                                                     And speaking of scent, I found a mixed bag result when I lessened the amount of this product and used it with my laundry detergent (which has its own scent) and my in-wash detergent booster (which is also slightly scented), and the Bounce sheets that I use - which are also scented. It seems that none of the scents really came through clearly. Which is probably a good thing! And that is another confusing aspect of this product. Unless one uses all laundry products that have no perfumes, normally all laundrey products have some sort of scent. And those scents don't seem to \"gel\" with this as well - unless you use A LOT of this product, and it becomes overwhelming.                                                                     I had never looked at the price of this product until I received this as an Amazon Vine product to sample. I personally find the price prohibitive, especially as this product only provides a scent and does nothing towards cleaning or softening. I have found coupons for this product, but for only $1 off, which is still way more than this budget shopper can afford. If this product did more than simply scent the laundry, I might be able to make a justification for the added expense, but for now? No, I cannot. Not in these times.                                                                     Even if this product were cheaper, and I were more inclined to purchase it in the future, I would probably use it exclusively for my towels and sheets. Personally, I found the scent too overwhelming for me, with concerns about it clashing with my perfumes (yes, it can be that strong). As to my husband? He really didn't have anything to say, but it's not really a scent a man would enjoy emanating from the shirts he wears when he hangs with his buds.                                                                     I would consider this a slightly luxary item, and if you can afford it and don't mind an extra bottle in your laundry room and like the scent, go for it! I didn't hate the product, and it certainly lived up to what it was supposed to do. I just found it expensive, cumbersome, a bit overwhelming, and sort of something along the lines of a 5th wheel."
5.00,"You sprinkle it in your wash before washing and your clothes smell so good.  I love the smell of fresh clean laundry and this product does the trick everytime!"
5.00,"Our clothes come out smelling wonderful! I use it at every wash to keep towels, bedding & clothes smelling great!"
5.00,"Love it  Love it  Love it!!!  The smell is phenominal!  The smell is definately stronget in the bottle than when the clothes come out of the washer.  I love how my clothes and sheets hold the smell for several days.  I love to walk into my bedroom and it smells so clean and fresh!  I would recommend this product to ALL and I am even having to come here to buy it because I can't find it in the stores anymore  :/"
4.00,"I came to Amazon so I can order Downy Unstopables thinking they would be cheaper (and I go through 2 bottles a week) and see that it costs at least $4 more here than in the store...great stuff but too expensive on Amazon!"
2.00,"I was excited about the Lush scent after purchasing a bottle of the Fresh scent at the store. I can not smell this one like I can the Fresh and I am dissapointed as I was hoping for a lovely lavender-type scent. I tried using more, no luck. I can't really tell if it softens my clothes much but I know it isn't scenting them and that's too bad. If you want a lasting scent, get the Fresh."
5.00,"Considering the new HE washers use less soap, I thought it would be nice to give my laundry a scent boost. Just add a small capful in the machine before the beginning of the wash cycle and it really makes a difference. Will purchase again!"
